id,category,status,method,question,correctAnswer,source,quarantined,note
q34,Världen,reference-verified,reverse-capital-country,Dublin är huvudstad i vilket land?,Irland,https://www.wikidata.org/,False,
q35,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Irland,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q36,Världen,reference-verified,country-capital,Vad heter huvudstaden i Storbritannien?,London,https://www.wikidata.org/,False,
q37,Världen,reference-verified,reverse-capital-country,London är huvudstad i vilket land?,Storbritannien,https://www.wikidata.org/,False,
q38,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Storbritannien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q39,Världen,reference-verified,country-capital,Vad heter huvudstaden i Nederländerna?,Amsterdam,https://www.wikidata.org/,False,
q40,Världen,reference-verified,reverse-capital-country,Amsterdam är huvudstad i vilket land?,Nederländerna,https://www.wikidata.org/,False,
q41,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Nederländerna,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q42,Världen,reference-verified,country-capital,Vad heter huvudstaden i Belgien?,Bryssel,https://www.wikidata.org/,False,
q43,Världen,reference-verified,reverse-capital-country,Bryssel är huvudstad i vilket land?,Belgien,https://www.wikidata.org/,False,
q44,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Belgien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q45,Världen,reference-verified,country-capital,Vad heter huvudstaden i Österrike?,Wien,https://www.wikidata.org/,False,
q46,Världen,reference-verified,reverse-capital-country,Wien är huvudstad i vilket land?,Österrike,https://www.wikidata.org/,False,
q47,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Österrike,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q48,Världen,reference-verified,country-capital,Vad heter huvudstaden i Schweiz?,Bern,https://www.wikidata.org/,False,
q49,Världen,reference-verified,reverse-capital-country,Bern är huvudstad i vilket land?,Schweiz,https://www.wikidata.org/,False,
q50,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Schweiz,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q51,Världen,reference-verified,country-capital,Vad heter huvudstaden i Polen?,Warszawa,https://www.wikidata.org/,False,
q52,Världen,reference-verified,reverse-capital-country,Warszawa är huvudstad i vilket land?,Polen,https://www.wikidata.org/,False,
q53,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Polen,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q54,Världen,reference-verified,country-capital,Vad heter huvudstaden i Tjeckien?,Prag,https://www.wikidata.org/,False,
q55,Världen,reference-verified,reverse-capital-country,Prag är huvudstad i vilket land?,Tjeckien,https://www.wikidata.org/,False,
q56,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Tjeckien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q57,Världen,reference-verified,country-capital,Vad heter huvudstaden i Ungern?,Budapest,https://www.wikidata.org/,False,
q58,Världen,reference-verified,reverse-capital-country,Budapest är huvudstad i vilket land?,Ungern,https://www.wikidata.org/,False,
q59,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Ungern,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q60,Världen,reference-verified,country-capital,Vad heter huvudstaden i Kroatien?,Zagreb,https://www.wikidata.org/,False,
q61,Världen,reference-verified,reverse-capital-country,Zagreb är huvudstad i vilket land?,Kroatien,https://www.wikidata.org/,False,
q62,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Kroatien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q63,Världen,reference-verified,country-capital,Vad heter huvudstaden i Slovenien?,Ljubljana,https://www.wikidata.org/,False,
q64,Världen,reference-verified,reverse-capital-country,Ljubljana är huvudstad i vilket land?,Slovenien,https://www.wikidata.org/,False,
q65,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Slovenien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q66,Världen,reference-verified,country-capital,Vad heter huvudstaden i Serbien?,Belgrad,https://www.wikidata.org/,False,
q67,Världen,reference-verified,reverse-capital-country,Belgrad är huvudstad i vilket land?,Serbien,https://www.wikidata.org/,False,
q68,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Serbien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q69,Världen,reference-verified,country-capital,Vad heter huvudstaden i Rumänien?,Bukarest,https://www.wikidata.org/,False,
q70,Världen,reference-verified,reverse-capital-country,Bukarest är huvudstad i vilket land?,Rumänien,https://www.wikidata.org/,False,
q71,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Rumänien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q72,Världen,reference-verified,country-capital,Vad heter huvudstaden i Bulgarien?,Sofia,https://www.wikidata.org/,False,
q73,Världen,reference-verified,reverse-capital-country,Sofia är huvudstad i vilket land?,Bulgarien,https://www.wikidata.org/,False,
q74,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Bulgarien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q75,Världen,reference-verified,country-capital,Vad heter huvudstaden i Estland?,Tallinn,https://www.wikidata.org/,False,
q76,Världen,reference-verified,reverse-capital-country,Tallinn är huvudstad i vilket land?,Estland,https://www.wikidata.org/,False,
q77,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Estland,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q78,Världen,reference-verified,country-capital,Vad heter huvudstaden i Lettland?,Riga,https://www.wikidata.org/,False,
q79,Världen,reference-verified,reverse-capital-country,Riga är huvudstad i vilket land?,Lettland,https://www.wikidata.org/,False,
q80,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Lettland,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q81,Världen,reference-verified,country-capital,Vad heter huvudstaden i Litauen?,Vilnius,https://www.wikidata.org/,False,
q82,Världen,reference-verified,reverse-capital-country,Vilnius är huvudstad i vilket land?,Litauen,https://www.wikidata.org/,False,
q83,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Litauen,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q84,Världen,reference-verified,country-capital,Vad heter huvudstaden i Kanada?,Ottawa,https://www.wikidata.org/,False,
q85,Världen,reference-verified,reverse-capital-country,Ottawa är huvudstad i vilket land?,Kanada,https://www.wikidata.org/,False,
q86,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Kanada,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q87,Världen,reference-verified,country-capital,Vad heter huvudstaden i USA?,"Washington, D.C.",https://www.wikidata.org/,False,
q88,Världen,reference-verified,reverse-capital-country,"Washington, D.C. är huvudstad i vilket land?",USA,https://www.wikidata.org/,False,
q89,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,USA,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q90,Världen,reference-verified,country-capital,Vad heter huvudstaden i Mexiko?,Mexico City,https://www.wikidata.org/,False,
q91,Världen,reference-verified,reverse-capital-country,Mexico City är huvudstad i vilket land?,Mexiko,https://www.wikidata.org/,False,
q92,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Mexiko,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q93,Världen,reference-verified,country-capital,Vad heter huvudstaden i Brasilien?,Brasília,https://www.wikidata.org/,False,
q94,Världen,reference-verified,reverse-capital-country,Brasília är huvudstad i vilket land?,Brasilien,https://www.wikidata.org/,False,
q95,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Brasilien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q96,Världen,reference-verified,country-capital,Vad heter huvudstaden i Argentina?,Buenos Aires,https://www.wikidata.org/,False,
q97,Världen,reference-verified,reverse-capital-country,Buenos Aires är huvudstad i vilket land?,Argentina,https://www.wikidata.org/,False,
q98,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Argentina,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q99,Världen,reference-verified,country-capital,Vad heter huvudstaden i Chile?,Santiago,https://www.wikidata.org/,False,
q100,Världen,reference-verified,reverse-capital-country,Santiago är huvudstad i vilket land?,Chile,https://www.wikidata.org/,False,
q101,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Chile,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q102,Världen,reference-verified,country-capital,Vad heter huvudstaden i Peru?,Lima,https://www.wikidata.org/,False,
q103,Världen,reference-verified,reverse-capital-country,Lima är huvudstad i vilket land?,Peru,https://www.wikidata.org/,False,
q104,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Peru,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q105,Världen,reference-verified,country-capital,Vad heter huvudstaden i Japan?,Tokyo,https://www.wikidata.org/,False,
q106,Världen,reference-verified,reverse-capital-country,Tokyo är huvudstad i vilket land?,Japan,https://www.wikidata.org/,False,
q107,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Japan,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q108,Världen,reference-verified,country-capital,Vad heter huvudstaden i Sydkorea?,Seoul,https://www.wikidata.org/,False,
q109,Världen,reference-verified,reverse-capital-country,Seoul är huvudstad i vilket land?,Sydkorea,https://www.wikidata.org/,False,
q110,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Sydkorea,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q111,Världen,reference-verified,country-capital,Vad heter huvudstaden i Kina?,Peking,https://www.wikidata.org/,False,
q112,Världen,reference-verified,reverse-capital-country,Peking är huvudstad i vilket land?,Kina,https://www.wikidata.org/,False,
q113,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Kina,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q114,Världen,reference-verified,country-capital,Vad heter huvudstaden i Indien?,New Delhi,https://www.wikidata.org/,False,
q115,Världen,reference-verified,reverse-capital-country,New Delhi är huvudstad i vilket land?,Indien,https://www.wikidata.org/,False,
q116,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Indien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q117,Världen,reference-verified,country-capital,Vad heter huvudstaden i Thailand?,Bangkok,https://www.wikidata.org/,False,
q118,Världen,reference-verified,reverse-capital-country,Bangkok är huvudstad i vilket land?,Thailand,https://www.wikidata.org/,False,
q119,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Thailand,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q120,Världen,reference-verified,country-capital,Vad heter huvudstaden i Vietnam?,Hanoi,https://www.wikidata.org/,False,
q121,Världen,reference-verified,reverse-capital-country,Hanoi är huvudstad i vilket land?,Vietnam,https://www.wikidata.org/,False,
q122,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Vietnam,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q123,Världen,reference-verified,country-capital,Vad heter huvudstaden i Australien?,Canberra,https://www.wikidata.org/,False,
q124,Världen,reference-verified,reverse-capital-country,Canberra är huvudstad i vilket land?,Australien,https://www.wikidata.org/,False,
q125,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Australien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q126,Världen,reference-verified,country-capital,Vad heter huvudstaden i Nya Zeeland?,Wellington,https://www.wikidata.org/,False,
q127,Världen,reference-verified,reverse-capital-country,Wellington är huvudstad i vilket land?,Nya Zeeland,https://www.wikidata.org/,False,
q128,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Nya Zeeland,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q129,Världen,reference-verified,country-capital,Vad heter huvudstaden i Egypten?,Kairo,https://www.wikidata.org/,False,
q130,Världen,reference-verified,reverse-capital-country,Kairo är huvudstad i vilket land?,Egypten,https://www.wikidata.org/,False,
q131,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Egypten,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q132,Världen,reference-verified,country-capital,Vad heter huvudstaden i Kenya?,Nairobi,https://www.wikidata.org/,False,
q133,Världen,reference-verified,reverse-capital-country,Nairobi är huvudstad i vilket land?,Kenya,https://www.wikidata.org/,False,
q134,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Kenya,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q135,Världen,reference-verified,country-capital,Vad heter huvudstaden i Marocko?,Rabat,https://www.wikidata.org/,False,
q136,Världen,reference-verified,reverse-capital-country,Rabat är huvudstad i vilket land?,Marocko,https://www.wikidata.org/,False,
q137,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Marocko,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q138,Världen,reviewed-pass,manual-semantic-review-canonical-fact,Vad heter huvudstaden i Turkiet?,Ankara,,False,
q139,Världen,reviewed-pass,manual-semantic-review-canonical-fact,Ankara är huvudstad i vilket land?,Turkiet,,False,
q140,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Turkiet,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q141,Världen,reference-verified,country-capital,Vad heter huvudstaden i Saudiarabien?,Riyadh,https://www.wikidata.org/,False,
q142,Världen,reference-verified,reverse-capital-country,Riyadh är huvudstad i vilket land?,Saudiarabien,https://www.wikidata.org/,False,
q143,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Saudiarabien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q144,Världen,reference-verified,country-capital,Vad heter huvudstaden i Förenade Arabemiraten?,Abu Dhabi,https://www.wikidata.org/,False,
q145,Världen,reference-verified,reverse-capital-country,Abu Dhabi är huvudstad i vilket land?,Förenade Arabemiraten,https://www.wikidata.org/,False,
q146,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Förenade Arabemiraten,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q147,Världen,reference-verified,country-capital,Vad heter huvudstaden i Sydafrika?,Pretoria,https://www.wikidata.org/,False,
q148,Världen,reference-verified,reverse-capital-country,Pretoria är huvudstad i vilket land?,Sydafrika,https://www.wikidata.org/,False,
q149,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Sydafrika,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q150,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen H?,Väte,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q151,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Väte?,H,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q152,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen He?,Helium,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q153,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Helium?,He,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q154,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Li?,Litium,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q155,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Litium?,Li,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q156,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen C?,Kol,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q157,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Kol?,C,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q158,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen N?,Kväve,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q159,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Kväve?,N,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q160,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen O?,Syre,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q161,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Syre?,O,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q162,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Na?,Natrium,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q163,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Natrium?,Na,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q164,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Mg?,Magnesium,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q165,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Magnesium?,Mg,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q166,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Al?,Aluminium,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q167,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Aluminium?,Al,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q168,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Si?,Kisel,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q169,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Kisel?,Si,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q170,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen P?,Fosfor,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q171,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Fosfor?,P,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q172,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen S?,Svavel,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q173,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Svavel?,S,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q174,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Cl?,Klor,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q175,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Klor?,Cl,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q176,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen K?,Kalium,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q177,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Kalium?,K,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q178,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Ca?,Kalcium,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q179,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Kalcium?,Ca,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q180,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Fe?,Järn,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q181,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Järn?,Fe,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q182,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Cu?,Koppar,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q183,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Koppar?,Cu,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q184,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Zn?,Zink,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q185,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Zink?,Zn,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q186,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Ag?,Silver,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q187,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Silver?,Ag,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q188,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Sn?,Tenn,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q189,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Tenn?,Sn,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q190,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen I?,Jod,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q191,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Jod?,I,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q192,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Au?,Guld,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q193,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Guld?,Au,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q194,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Hg?,Kvicksilver,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q195,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Kvicksilver?,Hg,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q196,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Pb?,Bly,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q197,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Bly?,Pb,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q198,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Ne?,Neon,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q199,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Neon?,Ne,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q200,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Ar?,Argon,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q201,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Argon?,Ar,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q202,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Ni?,Nickel,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q203,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Nickel?,Ni,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q204,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Co?,Kobolt,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q205,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Kobolt?,Co,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q206,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen Pt?,Platina,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q207,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Platina?,Pt,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q208,Allmänbildning,reference-verified,iupac-symbol-map,Vilket grundämne har beteckningen U?,Uran,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q209,Allmänbildning,reference-verified,iupac-symbol-map,Vilken kemisk beteckning har Uran?,U,https://iupac.org/what-we-do/periodic-table-of-elements/,False,
q210,Sverige,reviewed-pass,manual-semantic-review-canonical-fact,Vad är Sveriges huvudstad?,Stockholm,,False,
q211,Sverige,reviewed-pass,manual-semantic-review-canonical-fact,Vad är Sveriges näst största stad?,Göteborg,,False,
q212,Sverige,reviewed-pass,manual-semantic-review-canonical-fact,Vad är Sveriges tredje största stad?,Malmö,,False,
