id,category,kind,field,old,new,reason,source
src-663bb80afd8481713d,80/90/00-talet,corrected,question,"Vem regisserade ”Den inre kretsen”, en film från 1993?","Vem regisserade ”Den inre kretsen”, en film från 1992?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q40074
src-2a686069dbef79c27d,80/90/00-talet,corrected,question,"Vem regisserade ”Dazed and Confused”, en film från 1995?","Vem regisserade ”Dazed and Confused”, en film från 1993?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q39975
src-213c55bfb1d993238e,80/90/00-talet,corrected,question,"Vem regisserade ”Chasing Amy”, en film från 1998?","Vem regisserade ”Chasing Amy”, en film från 1997?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q40115
src-1908da4d41ae0afb75,80/90/00-talet,corrected,question,"Vem regisserade ”Dogma”, en film från 2000?","Vem regisserade ”Dogma”, en film från 1999?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q40187
src-f7e79742dc23c3ee98,80/90/00-talet,corrected,question,"Vem regisserade ”Min granne Totoro”, en film från 1990?","Vem regisserade ”Min granne Totoro”, en film från 1988?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q39571
src-97e3236241a41d487f,80/90/00-talet,corrected,question,"Vem regisserade ”Under Toscanas sol”, en film från 2004?","Vem regisserade ”Under Toscanas sol”, en film från 2003?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q41315
src-bce63a5d707573b491,80/90/00-talet,corrected,question,"Vem regisserade ”Aces: Iron Eagle III”, en film från 1992?","Vem regisserade ”Aces: Iron Eagle III”, en film från 1991?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q39969
src-c4b5b750fef403bd96,80/90/00-talet,corrected,question,"Vem regisserade ”V för Vendetta”, en film från 2006?","Vem regisserade ”V för Vendetta”, en film från 2005?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q5890
src-0b2fd0f00bd19c0e91,80/90/00-talet,corrected,question,"Vem regisserade ”Swept Away”, en film från 1982?","Vem regisserade ”Swept Away”, en film från 1974?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q1365
src-7136ddec14a808d8bf,80/90/00-talet,corrected,question,"Vem regisserade ”Swept Away”, en film från 1984?","Vem regisserade ”Swept Away”, en film från 1974?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q1365
src-1d85b2f0e504c54ea3,80/90/00-talet,corrected,question,"Vem regisserade ”Swept Away”, en film från 1991?","Vem regisserade ”Swept Away”, en film från 1974?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q1365
src-62598dd1b919f28ae6,80/90/00-talet,corrected,question,"Vem regisserade ”Swept Away”, en film från 2004?","Vem regisserade ”Swept Away”, en film från 1974?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q1365
src-8ba2b1ce92683c029e,80/90/00-talet,corrected,question,"Vem regisserade ”Scarface”, en film från 1984?","Vem regisserade ”Scarface”, en film från 1983?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q47075
src-f00ca5838611bcb112,80/90/00-talet,corrected,question,"Vem regisserade ”Månens favoriter”, en film från 1985?","Vem regisserade ”Månens favoriter”, en film från 1984?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q46533
src-95e54c623d43d8cf06,80/90/00-talet,corrected,question,"Vem regisserade ”Passionens labyrint”, en film från 1990?","Vem regisserade ”Passionens labyrint”, en film från 1982?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q46044
src-9639f073294d029382,80/90/00-talet,corrected,question,"Vem regisserade ”New York, I Love You”, en film från 2009?","Vem regisserade ”New York, I Love You”, en film från 2008?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q44935
src-93029eb61f97ba015e,80/90/00-talet,corrected,question,"Vem regisserade ”Moonwalker”, en film från 1989?","Vem regisserade ”Moonwalker”, en film från 1988?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q44396
src-51d8021f5daef1bc65,80/90/00-talet,corrected,question,"Vem regisserade ”Teenage Mutant Ninja Turtles”, en film från 1991?","Vem regisserade ”Teenage Mutant Ninja Turtles”, en film från 1990?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q58439
src-ce9e75cd5d204177fa,80/90/00-talet,corrected,question,"Vem regisserade ”Den långa resan”, en film från 1997?","Vem regisserade ”Den långa resan”, en film från 1996?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q49018
src-ce2db5f5806298c595,80/90/00-talet,corrected,question,"Vem regisserade ”Eraserhead”, en film från 1980?","Vem regisserade ”Eraserhead”, en film från 1977?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q11618
src-6419a94b2584ad1f3b,80/90/00-talet,corrected,question,"Vem regisserade ”Life or Something Like It”, en film från 2003?","Vem regisserade ”Life or Something Like It”, en film från 2002?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q29871
src-d20c01d7e972d09447,80/90/00-talet,corrected,question,"Vem regisserade ”101 dalmatiner”, en film från 1997?","Vem regisserade ”101 dalmatiner”, en film från 1996?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q8594
src-99d68e4c5dfd288eb9,80/90/00-talet,corrected,question,"Vem regisserade ”Hackers”, en film från 1996?","Vem regisserade ”Hackers”, en film från 1995?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q13908
src-597fa0dd2d07959fd0,80/90/00-talet,corrected,question,"Vem regisserade ”Hackers”, en film från 1998?","Vem regisserade ”Hackers”, en film från 1995?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q13908
src-d11f21f7662e7eb6a7,80/90/00-talet,corrected,question,"Vem regisserade ”Frida”, en film från 2003?","Vem regisserade ”Frida”, en film från 2002?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q35738
src-1e465c044d44369733,80/90/00-talet,corrected,question,"Vem regisserade ”Stranger”, en film från 2004?","Vem regisserade ”Stranger”, en film från 2006?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q34499
src-3e15b73b0d3d12fe15,80/90/00-talet,corrected,question,"Vem regisserade ”Mr. Billion”, en film från 1980?","Vem regisserade ”Mr. Billion”, en film från 1977?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q250628
src-bf9e6fb7985956a561,80/90/00-talet,corrected,question,"Vem regisserade ”Mr. Billion”, en film från 1981?","Vem regisserade ”Mr. Billion”, en film från 1977?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q250628
src-be3be8f2a00d82aeb9,80/90/00-talet,corrected,question,"Vem regisserade ”Resan till Jordens medelpunkt”, en film från 2009?","Vem regisserade ”Resan till Jordens medelpunkt”, en film från 2008?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q250770
src-55b28cb376980dd1c7,80/90/00-talet,corrected,question,"Vem regisserade ”Älskade”, en film från 1999?","Vem regisserade ”Älskade”, en film från 1998?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q250954
src-ae1a86620b0cab8c7a,80/90/00-talet,corrected,question,"Vem regisserade ”Moskva tror inte på tårar”, en film från 1982?","Vem regisserade ”Moskva tror inte på tårar”, en film från 1980?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q53105
src-b68ad1748da9c6bb57,80/90/00-talet,corrected,question,"Vem regisserade ”Eldorado”, en film från 1989?","Vem regisserade ”Eldorado”, en film från 1988?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q51121
src-23be056b7911c89e9c,80/90/00-talet,corrected,question,"Vem regisserade ”Wolfhound”, en film från 2007?","Vem regisserade ”Wolfhound”, en film från 2006?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q33189
src-0e137925483887dfdb,80/90/00-talet,corrected,question,"Vem regisserade ”Fönstret åt gården”, en film från 1995?","Vem regisserade ”Fönstret åt gården”, en film från 1954?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q34414
src-70792c1381a05d8824,80/90/00-talet,corrected,question,"Vem regisserade ”Wheels on Meals”, en film från 1985?","Vem regisserade ”Wheels on Meals”, en film från 1984?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q60792
src-3b527c17aac1832da3,80/90/00-talet,corrected,question,"Vem regisserade ”Ubåten”, en film från 1982?","Vem regisserade ”Ubåten”, en film från 1981?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q62730
src-f090f704424708a2a1,80/90/00-talet,corrected,question,"Vem regisserade ”Tidvattnets furste”, en film från 1992?","Vem regisserade ”Tidvattnets furste”, en film från 1991?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q63009
src-956977d65896818d80,80/90/00-talet,corrected,question,"Vem regisserade ”Den engelske patienten”, en film från 1997?","Vem regisserade ”Den engelske patienten”, en film från 1996?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q63026
src-b0a35a52380c4a44ff,80/90/00-talet,corrected,question,"Vem regisserade ”Gorgeous”, en film från 2001?","Vem regisserade ”Gorgeous”, en film från 1999?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q60794
src-cc8fff5fe07c133091,80/90/00-talet,corrected,question,"Vem regisserade ”Red Road”, en film från 2008?","Vem regisserade ”Red Road”, en film från 2006?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q63366
src-bfb2696f1b8fdbdd99,80/90/00-talet,corrected,question,"Vem regisserade ”Never Say Never Mind: The Swedish Bikini Team”, en film från 2003?","Vem regisserade ”Never Say Never Mind: The Swedish Bikini Team”, en film från 2001?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q71847
src-a75fa8cd57719631c1,80/90/00-talet,corrected,question,"Vem regisserade ”Tillsammans med dig”, en film från 2003?","Vem regisserade ”Tillsammans med dig”, en film från 2002?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q71978
src-e37bd54c3dab0d32d2,80/90/00-talet,corrected,question,"Vem regisserade ”De vilda gässen”, en film från 1981?","Vem regisserade ”De vilda gässen”, en film från 1978?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q64211
src-05d49918359578aa8d,80/90/00-talet,corrected,question,"Vem regisserade ”Coronado”, en film från 2004?","Vem regisserade ”Coronado”, en film från 2003?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q71785
src-422951eda414f46469,80/90/00-talet,corrected,question,"Vem regisserade ”En liten film om konsten att döda”, en film från 1989?","Vem regisserade ”En liten film om konsten att döda”, en film från 1988?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q72325
src-a711fafeaf529f4811,80/90/00-talet,corrected,question,"Vem regisserade ”Tillsammans med dig”, en film från 2004?","Vem regisserade ”Tillsammans med dig”, en film från 2002?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q71978
src-4d2dfec8f08407d75d,80/90/00-talet,corrected,question,"Vem regisserade ”Tillsammans med dig”, en film från 2005?","Vem regisserade ”Tillsammans med dig”, en film från 2002?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q71978
src-ab26a8441948f7e51e,80/90/00-talet,corrected,question,"Vem regisserade ”Fiendeland: En dag utan krig”, en film från 2006?","Vem regisserade ”Fiendeland: En dag utan krig”, en film från 2005?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q72090
src-d7fa6587ecbc7f4117,80/90/00-talet,corrected,question,"Vem regisserade ”Sängfösaren”, en film från 2001?","Vem regisserade ”Sängfösaren”, en film från 2000?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q72321
src-2295b34f41b1f719e3,80/90/00-talet,corrected,question,"Vem regisserade ”One Swallow Brought Spring”, en film från 2002?","Vem regisserade ”One Swallow Brought Spring”, en film från 2001?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q72273
src-388e0f6dff06c6171e,80/90/00-talet,corrected,question,"Vem regisserade ”They Live”, en film från 1989?","Vem regisserade ”They Live”, en film från 1988?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q72909
src-8f5099200af8e926b9,80/90/00-talet,corrected,question,"Vem regisserade ”Double Jeopardy”, en film från 2000?","Vem regisserade ”Double Jeopardy”, en film från 1999?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q73651
src-c4dc22f2f7fb450fa5,80/90/00-talet,corrected,question,"Vem regisserade ”Ondskans hus”, en film från 1992?","Vem regisserade ”Ondskans hus”, en film från 1991?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q27338
